subject,run,motion_param,plv_empirical,plv_null_median,plv_null_mean,plv_null_std,p_value,p_fdr,p_bonferroni,sig_uncorrected,sig_fdr,sig_bonferroni,n_null_samples
LA,1,trans_x,0.06072292810222724,0.14360305899827813,0.1504670129275011,0.07327857943755965,0.8846153846153846,0.9465948064674179,1.0,False,False,False,26
LA,1,trans_y,0.22029803366989736,0.1255303951747393,0.12220719124596767,0.06735964626642897,0.038461538461538464,0.192,1.0,True,False,False,26
LA,1,trans_z,0.07134513069269229,0.1930485479516213,0.1742245017430752,0.07641902635312495,0.8846153846153846,0.9465948064674179,1.0,False,False,False,26
LA,1,rot_x,0.3011896603188338,0.18455389426978688,0.17099664552739371,0.08780837324428692,0.07692307692307693,0.2809364548494983,1.0,False,False,False,26
LA,1,rot_y,0.238693377817457,0.1149699849528176,0.12118357605576477,0.06675695707245166,0.038461538461538464,0.192,1.0,True,False,False,26
LA,1,rot_z,0.2789241611144482,0.14534948235883338,0.1596119660600367,0.08659006195667475,0.07692307692307693,0.2809364548494983,1.0,False,False,False,26
LA,2,trans_x,0.055220814853359126,0.12429438789773681,0.13205500290182887,0.07279697144569545,0.8461538461538461,0.9465948064674179,1.0,False,False,False,26
LA,2,trans_y,0.09797448555260252,0.1208791177646818,0.15826527002456087,0.0894976730545128,0.6538461538461539,0.9003783102143758,1.0,False,False,False,26
LA,2,trans_z,0.2563229855973216,0.13125968197864304,0.13295610674281277,0.05373513408832043,0.0,0.0,0.0,True,True,True,26
LA,2,rot_x,0.007868292911971482,0.14216382761401047,0.1555567626287701,0.08116405210891721,1.0,1.0,1.0,False,False,False,26
LA,2,rot_y,0.17435429525357013,0.12262484154871944,0.14338544140369702,0.0675715025535107,0.2692307692307692,0.5584045584045584,1.0,False,False,False,26
LA,2,rot_z,0.04604342103139897,0.11960073837325962,0.15590236121393256,0.09062515288367747,0.9230769230769231,0.9722222222222223,1.0,False,False,False,26
BS,1,trans_x,0.15009463880865212,0.12167179536020868,0.1400832991899187,0.08082264229968623,0.4230769230769231,0.7252747252747253,1.0,False,False,False,26
BS,1,trans_y,0.07166563722550734,0.19877106234390218,0.1926633667823578,0.08620889821301377,0.8846153846153846,0.9465948064674179,1.0,False,False,False,26
BS,1,trans_z,0.10051386748169298,0.1228676802862945,0.13160058087240262,0.06445394996100501,0.6538461538461539,0.9003783102143758,1.0,False,False,False,26
BS,1,rot_x,0.05803032028202943,0.14614004655732288,0.15436167021369623,0.07581109498768669,0.8461538461538461,0.9465948064674179,1.0,False,False,False,26
BS,1,rot_y,0.2909982855546332,0.1539717441755356,0.15976641899677355,0.1045627773951194,0.15384615384615385,0.44562334217506633,1.0,False,False,False,26
BS,1,rot_z,0.17585726487949796,0.1622467504700661,0.1758290937367277,0.08150552710359181,0.38461538461538464,0.6947890818858561,1.0,False,False,False,26
BS,2,trans_x,0.30353760631814924,0.11612715874821994,0.12459395470580302,0.07908948559439563,0.0,0.0,0.0,True,True,True,26
BS,2,trans_y,0.4461608242946309,0.16877204041519595,0.174286899723533,0.083484413246302,0.0,0.0,0.0,True,True,True,26
BS,2,trans_z,0.4967278032619256,0.15629863188729154,0.16272960404776612,0.06525143952085724,0.0,0.0,0.0,True,True,True,26
BS,2,rot_x,0.0722923975074894,0.15753612299845604,0.16253517403846243,0.07682446661451955,0.8846153846153846,0.9465948064674179,1.0,False,False,False,26
BS,2,rot_y,0.14406462698900646,0.13615908602081822,0.14236603594306757,0.06367572734731292,0.4230769230769231,0.7252747252747253,1.0,False,False,False,26
